id;country;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;age;sex;mot;anx;val;sec;ple;ae;i1_2;i2_2;i3_2;i4_2;i5_2;i6_2;i7_2;i8_2;i9_2;i10_2;i11_2;i12_2;i13_2;i14_2;i15_2;i16_2;i17_2;i18_2;i19_2;i20_2;i21_2;i22_2;i23_2;i24_2;i25_2;mot_2;anx_2;val_2;sec_2;ple_2;ae_2
F-18-5013;Australia;3;4;2;3;3;3;5;2;3;3;4;4;2;3;4;4;4;3;2;4;2;5;3;3;3;18;0;17;22;16;12;14;63;2;4;1;2;3;2;5;2;3;3;4;4;2;3;5;5;4;1;1;3;1;1;2;1;4;20;18;12;8;10;52
M-22-5082;Australia;4;5;1;3;2;5;5;2;3;2;4;4;2;3;4;5;5;2;2;2;2;4;4;2;3;22;1;16;23;17;11;13;62;4;5;1;2;1;5;5;2;2;2;5;5;1;2;5;5;5;1;1;1;2;5;4;1;2;15;25;17;9;8;54
F-18-5000;Australia;4;3;3;3;4;4;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;0;16;16;17;14;15;74;2;4;3;2;3;2;4;2;1;3;4;4;1;3;4;5;4;3;3;2;2;4;3;2;4;19;20;12;12;11;56
F-18-5073;Australia;3;3;3;2;2;2;4;4;2;4;3;4;2;2;5;4;4;3;2;2;1;4;4;1;3;18;0;18;19;11;16;9;59;3;4;3;2;3;2;4;3;1;3;2;4;2;1;4;5;4;3;2;3;2;4;4;2;3;18;20;12;15;8;57
F-19-5089;Australia;5;5;2;4;2;5;5;3;3;4;5;5;2;2;3;1;4;2;1;5;5;5;5;5;3;19;0;13;24;25;14;15;77;1;4;2;3;3;3;3;1;1;3;2;4;1;2;3;3;1;1;5;3;2;3;3;1;5;17;15;11;8;12;59
F-21-5162-1;Australia;4;3;2;3;2;4;3;2;2;2;5;3;2;2;2;2;5;3;4;4;3;3;4;2;2;21;0;10;17;20;13;13;79;4;3;3;2;2;5;3;2;2;2;5;4;2;2;3;3;4;2;3;3;2;4;3;1;5;15;18;19;12;10;68
F-18-5109;Australia;4;2;4;4;2;4;2;4;2;3;4;2;3;2;4;4;2;4;3;3;2;2;4;2;2;18;0;15;10;17;19;13;84;3;2;4;3;3;2;3;4;1;4;4;3;2;2;4;4;4;3;3;4;2;4;3;2;3;18;16;15;16;11;68
F-19-5006-1;Australia;3;5;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;4;3;3;19;0;15;17;14;16;14;72;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;2;4;3;4;3;3;1;4;16;18;15;14;14;69
F-30-5072;Australia;4;3;2;2;2;2;4;3;2;4;3;3;2;2;3;4;4;3;2;2;3;4;1;2;2;30;0;15;18;14;11;10;62;4;4;2;5;3;5;4;3;4;4;2;2;2;4;4;5;4;2;1;4;2;4;4;1;2;18;18;17;13;15;69
M-19-5038;Australia;2;4;4;1;2;2;2;4;1;4;4;2;4;1;4;5;2;2;1;1;1;2;4;1;5;19;1;20;12;10;18;5;61;2;4;4;2;1;2;2;4;1;2;4;2;4;1;5;5;1;2;1;4;2;2;4;1;4;17;11;14;18;6;70
M-19-5125;Australia;4;2;5;3;2;2;1;4;3;2;4;2;4;3;3;5;2;4;3;3;2;2;4;1;3;19;1;15;9;15;21;13;85;3;2;4;3;2;3;3;3;2;3;3;3;3;2;4;5;2;2;3;3;3;3;3;3;3;17;13;15;15;13;73
F-20-5089;Australia;3;3;4;2;4;4;3;3;1;4;3;3;3;2;5;2;3;4;2;2;3;3;3;3;3;20;0;18;15;15;17;10;69;3;3;3;3;3;4;2;3;1;4;3;2;3;2;3;3;2;4;2;4;2;3;4;1;3;16;12;16;17;9;74
F-18-3418;Australia;4;2;5;4;1;4;3;4;2;2;3;2;4;3;3;3;2;4;3;4;3;2;4;2;4;18;0;13;11;18;21;14;89;2;3;4;4;2;3;3;4;2;2;4;3;4;3;4;5;2;4;2;4;1;2;3;1;4;17;13;14;19;12;75
M-21-5074-1;Australia;5;2;3;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;4;4;4;2;4;4;2;21;1;14;13;20;16;19;88;1;1;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;15;13;13;15;16;76
F-18-5158;Australia;3;2;4;3;2;3;2;3;3;2;3;2;4;3;3;4;2;4;2;2;2;2;5;2;3;18;0;14;10;13;20;13;82;3;3;4;4;2;4;2;2;3;2;3;4;3;2;3;4;2;2;2;2;2;2;4;2;2;13;13;14;15;13;76
F-45-5034;Australia;4;2;4;3;3;4;2;4;2;3;2;2;2;2;3;4;2;2;3;4;2;3;4;3;2;45;0;15;11;16;16;13;79;3;2;4;3;2;3;3;4;2;4;3;2;2;3;3;4;3;3;2;4;2;2;4;2;3;16;12;15;17;12;76
M-18-5112;Australia;4;2;4;3;3;2;2;4;3;3;2;2;3;2;3;4;3;4;3;4;2;2;4;1;3;18;1;16;11;14;19;12;78;3;2;4;3;3;2;2;4;2;2;2;3;3;2;4;5;2;4;2;4;2;2;4;2;2;16;11;13;19;11;76
F-24-5011;Australia;4;3;4;4;2;4;3;3;3;2;4;4;2;4;3;4;3;3;4;3;3;3;4;3;3;24;0;14;16;18;16;18;82;4;4;3;4;2;4;3;2;4;2;4;5;2;4;3;3;4;3;3;4;3;4;4;3;4;14;20;19;14;18;77
F-19-5075;Australia;4;3;4;3;2;4;3;4;3;3;3;2;4;3;3;3;2;4;3;4;3;2;4;3;2;19;0;13;12;18;20;15;88;2;3;4;4;4;4;4;4;3;4;5;2;4;4;5;5;2;3;1;5;2;1;4;2;1;19;12;18;19;14;80
F-19-5023;Australia;4;2;4;3;1;4;2;4;3;2;4;2;3;3;2;3;4;4;3;3;3;2;4;4;2;19;0;10;12;18;19;16;91;4;2;4;3;2;3;2;4;2;4;4;2;4;4;4;5;2;4;2;2;1;2;4;2;2;17;10;14;20;13;80
M-19-5048;Australia;4;2;4;4;2;3;3;4;3;2;2;2;3;4;2;3;3;4;3;5;2;2;5;2;3;19;1;12;12;16;20;16;88;4;3;4;3;2;3;3;3;2;2;3;3;4;3;2;4;4;3;3;4;3;3;4;3;3;13;16;17;18;14;80
F-17-5098;Australia;5;2;4;4;2;5;3;4;3;3;4;2;4;3;2;3;3;4;3;4;4;3;5;3;3;17;0;13;13;22;21;16;93;4;2;3;4;2;4;3;4;2;2;3;2;3;3;4;5;3;3;2;3;3;3;5;2;2;15;13;17;18;13;80
F-19-5081-1;Australia;3;3;4;3;3;3;3;3;3;4;3;3;3;3;4;4;3;4;3;3;3;3;4;3;3;19;0;18;15;15;18;15;75;4;3;4;3;3;3;3;3;3;3;3;2;4;3;4;3;3;3;2;5;3;2;4;2;2;15;13;18;18;13;81
M-20-5114-1;Australia;4;4;3;2;2;4;4;3;2;2;4;4;2;2;3;3;4;4;3;4;3;4;4;2;4;20;1;14;20;19;16;11;72;4;3;4;3;2;3;2;3;2;2;4;2;2;3;2;4;2;4;3;2;4;2;2;2;3;13;11;17;15;13;81
F-19-5107;Australia;5;2;5;4;2;5;5;5;4;2;5;2;4;4;4;4;2;4;3;4;4;2;4;4;2;19;0;14;13;23;22;19;97;3;3;4;4;3;3;2;4;4;4;5;2;3;3;4;4;3;4;2;3;3;2;4;2;2;17;12;17;19;15;82
F-18-5112;Australia;4;1;1;5;1;5;1;5;5;2;5;2;4;4;3;3;2;4;4;4;4;2;4;4;2;18;0;11;8;22;18;22;103;1;2;4;4;3;4;4;3;3;4;4;2;4;4;3;4;3;4;2;4;2;2;5;4;2;16;13;15;20;17;83
F-22-5087-1;Australia;4;4;3;3;2;4;5;4;3;4;4;4;2;2;3;2;5;2;4;3;4;5;4;4;2;22;0;13;23;19;15;16;74;5;3;4;4;2;4;5;3;4;4;3;4;2;2;1;2;4;4;3;5;3;4;5;4;1;10;20;20;18;17;85
F-19-5095-1;Australia;5;3;1;5;1;5;4;4;4;1;5;4;2;4;3;3;4;4;1;2;3;4;3;2;3;19;0;11;19;20;14;16;80;5;2;2;4;2;4;4;4;4;2;5;4;2;4;3;2;4;4;2;4;4;4;4;2;2;11;18;22;16;16;85
F-18-5062;Australia;1;2;5;5;2;3;2;4;4;3;4;2;4;4;3;4;2;4;3;5;4;2;4;4;3;18;0;15;10;17;21;20;93;4;3;4;4;4;4;3;4;2;4;4;3;4;3;3;4;2;5;3;4;4;3;5;1;1;16;14;20;22;13;85
F-20-5021;Australia;4;3;2;3;3;4;4;3;2;3;4;2;2;3;2;3;4;3;2;4;3;4;4;2;4;20;0;15;17;19;14;12;73;3;2;4;4;3;2;2;4;4;2;3;2;4;4;4;5;3;3;3;4;2;2;4;4;2;16;11;14;19;19;85
F-19-5072-1;Australia;4;3;4;3;2;4;4;2;3;2;4;4;2;3;3;3;4;2;3;4;4;4;4;2;3;19;0;13;19;20;14;14;76;4;2;4;3;2;4;2;4;3;2;4;2;3;2;3;4;3;4;3;3;2;2;4;3;2;13;11;17;19;14;86
F-18-5006;Australia;3;2;4;4;2;4;2;4;3;2;4;2;4;4;2;4;2;4;3;3;3;2;4;3;2;18;0;12;10;17;20;17;92;4;2;2;3;2;3;3;4;4;2;4;3;4;3;2;4;2;4;3;3;2;2;4;3;2;12;12;16;18;16;86
F-52-5073;Australia;4;4;4;4;2;4;4;4;4;2;4;2;3;4;2;2;2;4;2;4;2;2;4;2;2;52;0;10;14;18;19;16;89;5;2;3;5;1;3;5;4;5;1;4;4;3;5;4;2;4;2;1;5;5;2;5;1;5;13;17;22;17;17;86
F-18-5085;Australia;4;3;4;4;3;4;3;4;4;3;4;2;3;3;2;4;3;4;3;4;4;2;4;3;2;18;0;14;13;20;19;17;89;4;3;4;3;3;4;2;4;3;2;4;3;4;3;4;4;3;4;3;4;4;2;4;2;2;15;13;20;20;14;86
F-29-5067;Australia;5;3;3;4;4;4;3;4;3;3;2;2;3;4;2;3;2;2;3;4;4;2;5;4;2;29;0;14;12;19;17;18;88;5;3;3;3;2;4;4;4;4;4;4;3;3;3;2;2;3;4;3;4;4;3;4;2;2;12;16;21;18;15;86
F-18-5070;Australia;3;3;4;2;3;3;4;2;2;2;4;3;2;2;4;4;4;3;2;3;2;4;4;2;4;18;0;17;18;15;15;10;65;4;2;4;3;2;3;2;4;3;3;5;2;4;3;4;3;2;3;2;4;2;2;5;3;2;14;10;18;20;14;88
F-19-5013-1;Australia;5;4;2;4;2;4;5;2;1;1;5;4;2;2;4;4;5;2;3;4;2;5;3;2;2;19;0;13;23;20;11;12;67;5;4;2;4;1;4;4;4;4;1;5;2;2;4;1;4;4;2;4;5;2;2;5;1;1;8;16;21;15;17;89
M-18-5046;Australia;4;3;4;4;2;5;3;4;4;2;4;2;4;3;3;4;3;3;4;4;3;3;4;3;3;18;1;14;14;20;19;18;89;4;3;2;4;2;4;4;4;4;2;4;1;3;3;2;4;4;3;4;4;3;2;5;4;2;12;14;19;17;19;89
M-28-5024-1;Australia;4;2;4;4;1;4;3;3;4;2;2;1;3;2;4;3;3;5;3;5;3;3;5;4;3;28;1;13;12;18;20;17;90;4;1;4;4;4;5;1;5;5;3;2;2;4;3;4;3;1;5;2;4;3;1;4;2;5;19;6;18;22;16;91
F-19-5007;Australia;3;2;4;4;2;4;2;4;1;2;3;2;4;3;3;3;4;3;2;5;4;3;4;1;2;19;0;12;13;19;19;11;84;4;2;4;4;2;4;3;4;3;2;3;2;3;4;3;2;2;4;2;4;3;2;4;2;1;10;11;18;19;15;91
F-19-5095;Australia;4;2;3;3;3;4;3;3;3;5;4;3;3;3;2;4;3;3;2;5;3;4;4;2;2;19;0;16;15;20;16;13;78;4;2;4;4;4;4;3;4;4;4;4;2;3;4;2;4;2;3;4;4;4;2;5;5;3;17;11;20;19;21;92
F-20-5084;Australia;5;3;4;3;2;4;4;4;4;2;5;1;4;3;3;2;3;4;2;3;4;2;5;3;2;20;0;11;13;21;21;15;93;4;2;4;4;2;4;2;4;4;4;4;2;4;4;2;2;2;4;3;3;3;3;3;4;2;12;11;18;19;19;93
F-22-528400-1;Australia;1;2;4;1;2;4;3;4;4;2;5;3;4;4;2;2;3;3;4;4;4;2;4;4;3;22;0;11;13;18;19;17;90;4;3;1;5;2;4;2;4;4;3;4;3;4;4;2;3;2;4;4;4;4;2;4;4;2;12;12;20;17;21;94
M-19-5083;Australia;4;3;4;4;2;4;2;4;3;3;4;2;3;3;3;5;2;4;2;4;2;2;2;2;2;19;1;15;11;18;17;14;83;4;2;4;4;3;4;2;4;4;4;4;2;4;4;2;4;2;4;4;4;4;2;4;3;2;15;10;20;20;19;94
M-24-5012-1;Australia;4;3;4;4;4;4;3;4;3;2;5;2;4;4;2;3;2;4;4;4;4;2;4;3;2;24;1;13;12;21;20;18;94;3;2;4;4;3;4;2;4;3;3;4;2;4;4;3;4;3;5;3;5;3;2;5;5;1;14;11;19;22;19;95
F-18-5052;Australia;4;1;5;4;1;4;1;5;5;2;3;2;4;5;2;2;2;5;3;5;3;2;4;3;2;18;0;9;8;19;23;20;105;4;1;5;4;2;4;2;4;3;2;3;2;4;4;2;3;2;4;2;5;3;2;4;2;2;11;9;19;21;15;95
F-18-5210;Australia;3;3;4;4;3;3;3;4;3;3;4;2;4;4;3;4;3;3;2;4;2;2;4;3;3;18;0;16;13;16;19;16;82;5;3;5;5;2;4;2;3;3;2;3;2;3;4;2;3;3;4;3;5;4;2;5;3;2;11;12;21;20;18;96
M-24-5081-1;Australia;3;2;4;5;2;5;2;4;3;2;4;2;3;4;2;3;2;2;3;5;2;2;3;3;2;24;1;11;10;19;16;18;92;4;2;4;4;2;4;2;4;3;2;5;2;4;3;2;3;2;4;4;5;3;2;4;3;2;11;10;21;20;17;97
M-22-5007;Australia;4;2;4;3;3;4;1;5;3;2;4;2;5;4;2;4;1;1;3;4;4;1;3;3;2;22;1;13;7;20;18;16;94;5;2;4;4;2;3;2;4;3;2;3;2;4;3;2;3;2;5;3;5;4;1;4;3;2;11;9;20;21;16;97
F-22-5114;Australia;5;3;5;3;2;5;1;5;3;2;3;2;3;3;2;3;2;4;3;3;3;2;5;3;3;22;0;12;10;19;22;15;94;4;2;5;4;2;4;2;4;4;2;4;2;4;3;2;2;2;4;3;4;4;2;5;3;2;10;10;20;22;17;99
F-19-5091-1;Australia;5;4;2;4;4;4;4;3;2;2;5;2;4;3;4;3;3;4;4;3;3;2;4;3;3;19;0;16;15;20;17;16;82;5;2;4;4;2;4;2;4;3;2;4;2;4;5;3;4;2;5;3;4;4;2;5;4;1;12;10;21;22;19;100
F-17-5092;Australia;5;1;5;4;1;5;1;4;3;2;4;2;2;4;1;3;1;5;4;4;4;1;5;4;2;17;0;9;6;22;21;19;107;4;1;5;5;1;5;1;5;2;5;4;1;4;4;2;5;1;5;3;4;4;1;5;3;2;15;5;21;24;17;102
F-18-5031;Australia;5;2;5;5;1;5;1;4;5;2;4;1;5;5;1;2;1;5;5;5;5;1;5;5;1;18;0;7;6;24;24;25;120;4;2;5;5;5;5;1;5;5;3;5;1;4;5;1;2;1;5;4;5;4;1;5;5;1;12;6;23;24;24;113
F-20-5076-1;Australia;4;2;5;5;3;5;1;5;3;4;5;2;4;4;2;1;1;4;4;5;4;1;5;5;1;20;0;11;7;23;23;21;109;4;2;5;5;4;5;1;5;3;2;5;1;5;4;2;1;1;5;5;5;5;1;5;5;1;10;6;24;25;22;115
F-18-5114;Australia;4;1;5;5;3;4;1;4;4;3;2;1;5;5;2;4;2;5;4;5;4;1;5;2;1;18;0;13;6;19;24;20;104;5;1;5;5;1;5;1;5;5;1;5;1;5;5;1;1;1;5;5;5;4;2;5;5;1;5;6;24;25;25;123
40;Canada;4;4;1;1;3;3;5;4;1;3;3;4;1;1;3;4;5;3;1;1;3;5;4;1;5;20;F;18;23;14;13;5;51;1;5;1;1;3;1;5;1;1;3;1;5;1;1;5;5;5;1;1;1;1;5;1;1;5;21;25;5;5;5;29
31;Canada;4;3;2;4;3;4;4;2;2;2;3;4;1;2;3;2;5;2;3;2;4;4;2;2;4;21;F;14;20;17;9;13;65;2;5;1;1;2;2;5;1;1;3;3;5;1;1;4;4;5;1;1;1;3;5;2;1;5;18;25;11;6;5;39
43;Canada;2;5;1;1;3;1;5;1;1;3;3;2;2;1;5;5;5;1;1;1;1;5;1;1;4;20;F;20;22;8;6;5;37;2;5;1;1;3;1;5;1;1;2;3;4;1;1;5;4;4;1;1;2;2;4;2;1;4;18;22;10;6;5;41
39;Canada;3;3;2;4;3;3;4;2;4;4;3;3;2;2;5;3;5;2;2;3;3;5;4;2;3;20;F;18;20;15;12;14;63;3;5;5;1;3;1;5;1;1;4;3;5;1;1;5;3;5;1;1;3;2;5;2;2;4;19;25;12;10;6;44
85;Canada;2;4;2;2;3;4;5;3;2;4;3;4;2;3;4;4;4;2;2;3;3;5;4;2;3;19;F;18;22;15;13;11;59;2;4;1;2;4;2;5;2;1;4;2;4;1;2;5;4;5;2;1;3;2;5;4;1;3;20;23;11;10;7;45
42;Canada;4;5;1;2;3;3;5;1;2;3;5;5;1;1;5;5;5;5;1;5;2;5;3;1;4;20;F;20;25;19;11;7;52;4;5;1;1;1;3;5;1;1;2;5;5;1;1;5;4;5;1;1;5;1;5;3;1;5;17;25;18;7;5;48
108;Canada;2;5;1;1;2;3;5;3;1;2;3;5;1;1;5;1;5;1;1;1;2;5;4;1;3;19;F;13;25;11;10;5;48;3;5;1;1;3;3;4;3;1;3;3;5;1;1;5;4;4;1;1;1;3;3;4;1;3;18;21;13;10;5;49
25;Canada;1;5;4;1;1;2;5;1;1;4;2;4;1;2;1;5;5;2;1;4;3;5;1;1;3;21;F;14;24;12;9;6;49;1;3;4;1;5;1;5;2;1;5;3;3;2;1;5;5;4;2;1;5;3;4;3;1;1;21;19;13;13;5;51
49;Canada;4;4;2;3;2;4;4;3;3;4;4;3;2;3;4;4;3;3;2;3;4;3;4;2;2;20;F;16;17;19;14;13;73;2;4;2;2;4;2;4;2;2;4;3;4;2;2;4;4;4;2;1;4;2;4;3;1;4;20;20;13;11;8;52
109;Canada;1;5;1;1;3;1;5;1;1;4;4;5;1;1;5;4;5;1;1;1;2;5;1;1;5;19;F;21;25;9;5;5;33;3;4;1;1;3;4;5;1;1;5;4;5;1;1;1;4;5;2;1;4;3;4;3;2;3;16;23;18;8;6;53
44;Canada;1;5;1;1;3;3;5;1;1;4;4;4;2;1;5;5;5;1;1;1;3;5;3;1;5;20;F;22;24;12;8;5;39;3;5;2;1;2;1;5;2;1;3;4;2;2;3;5;4;5;2;1;4;3;4;4;1;5;19;21;15;12;7;54
79;Canada;2;4;3;2;4;3;4;3;2;4;4;4;3;3;4;4;4;2;2;2;2;4;3;2;4;19;M;20;20;13;14;11;58;2;4;2;2;4;2;4;2;2;4;4;4;2;3;5;4;4;2;1;3;2;4;3;2;3;20;20;13;11;10;54
60;Canada;3;5;1;1;3;4;5;2;1;2;4;5;1;1;5;4;5;1;1;1;2;5;3;1;3;20;F;17;25;14;8;5;45;4;4;1;1;3;3;5;3;1;3;4;4;1;1;5;4;5;3;1;5;3;5;4;1;3;18;23;19;12;5;55
41;Canada;4;5;1;2;3;3;5;1;2;3;5;5;1;1;5;5;5;5;1;5;2;5;3;1;4;20;F;20;25;19;11;7;52;3;4;2;2;2;2;4;2;2;2;4;4;2;2;5;4;4;2;1;2;2;4;2;2;4;17;20;13;10;9;55
78;Canada;2;4;3;2;4;3;4;3;2;4;4;4;3;3;4;4;4;2;2;2;2;4;3;2;4;19;M;20;20;13;14;11;58;2;4;2;2;4;2;4;2;2;4;4;4;2;2;5;4;4;3;2;4;2;4;3;2;3;20;20;14;12;10;56
37;Canada;4;4;4;2;3;5;4;4;4;2;3;5;1;1;2;4;2;2;3;4;3;4;5;2;2;21;F;13;19;19;16;12;75;3;4;2;1;2;5;4;3;2;4;4;4;2;2;4;4;5;1;1;3;3;5;3;1;4;18;22;18;11;7;56
80;Canada;3;3;2;3;3;4;4;4;3;3;4;3;3;3;4;4;4;2;2;4;2;3;4;2;3;19;F;17;17;17;15;13;71;2;4;2;2;3;2;4;2;2;4;3;3;2;2;2;4;4;2;2;2;2;2;2;2;3;16;17;11;10;10;58
104;Canada;4;3;3;2;1;4;4;4;4;4;5;4;2;3;3;5;4;2;3;2;5;4;4;2;3;20;F;16;19;20;15;14;74;2;4;3;2;2;2;4;4;2;4;3;4;2;2;4;5;4;3;1;1;4;4;5;1;3;18;20;12;17;8;59
18;Canada;3;5;1;1;3;1;5;4;1;4;3;3;2;1;5;2;5;4;2;2;3;5;5;1;3;21;F;17;23;12;16;6;54;3;5;3;1;4;1;4;3;1;4;2;2;3;3;5;2;4;4;1;4;4;5;4;1;3;18;20;14;17;7;60
116;Canada;2;3;2;4;3;3;5;2;1;4;3;4;2;2;4;5;4;2;1;3;2;4;4;1;3;19;F;19;20;13;12;9;55;4;4;2;3;2;2;4;2;2;4;4;3;2;3;4;5;4;2;1;4;1;4;4;1;2;17;19;15;12;10;61
17;Canada;2;3;3;2;3;2;3;2;3;3;2;3;2;2;2;1;3;3;1;1;2;3;4;2;3;25;M;12;15;9;14;10;66;2;4;3;1;2;3;3;3;2;3;2;3;3;1;3;5;3;3;1;1;2;3;4;2;3;16;16;10;16;7;61
34;Canada;4;4;2;2;2;4;4;3;2;2;4;3;3;2;4;4;5;2;2;3;4;4;3;2;3;21;F;15;20;19;13;10;67;3;3;4;2;3;2;3;3;2;5;2;3;3;2;4;5;3;3;1;3;2;3;3;1;3;20;15;12;16;8;61
47;Canada;5;2;2;2;2;4;5;4;1;5;5;4;4;1;4;5;4;4;2;4;2;4;4;1;5;20;F;21;19;20;18;7;65;2;2;2;2;4;2;3;3;1;4;4;2;2;4;4;4;3;2;2;2;2;3;4;1;4;20;13;12;13;10;62
124;Canada;3;3;2;3;3;3;4;3;2;3;3;2;3;3;4;4;4;4;2;3;2;4;3;2;3;21;F;17;17;14;15;12;67;1;3;2;2;3;3;4;4;3;3;2;2;3;2;4;4;4;3;2;2;2;4;3;2;3;17;17;10;15;11;62
96;Canada;5;5;2;2;2;5;4;2;1;4;4;4;2;2;2;5;5;2;2;4;3;5;4;1;5;19;F;18;23;21;12;8;60;4;4;2;2;2;2;4;4;2;4;4;4;2;2;4;4;4;2;2;4;3;4;4;2;4;18;20;17;14;10;63
27;Canada;2;4;2;2;3;4;3;4;2;4;3;4;2;2;3;4;5;2;1;2;1;4;4;2;3;22;M;17;20;12;14;9;58;4;4;2;2;3;2;4;2;2;2;4;3;2;2;4;3;4;2;2;4;3;5;3;2;2;14;20;17;11;10;64
