id;country;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;age;sex;mot;anx;val;sec;ple;ae;i1_2;i2_2;i3_2;i4_2;i5_2;i6_2;i7_2;i8_2;i9_2;i10_2;i11_2;i12_2;i13_2;i14_2;i15_2;i16_2;i17_2;i18_2;i19_2;i20_2;i21_2;i22_2;i23_2;i24_2;i25_2;mot_2;anx_2;val_2;sec_2;ple_2;ae_2
24;Canada;5;4;1;1;1;3;5;1;1;1;3;5;1;1;5;5;5;3;1;5;3;5;4;1;5;21;F;17;24;19;10;5;53;4;4;1;2;1;4;4;2;2;2;4;3;1;1;5;2;5;1;1;5;5;5;4;1;2;12;21;22;9;7;65
56;Canada;1;4;2;2;3;2;4;2;2;4;2;4;2;3;4;2;3;2;3;3;2;5;3;2;4;20;F;17;20;10;11;12;56;2;3;3;2;3;2;2;4;1;4;2;4;3;4;4;4;4;2;2;4;2;4;4;2;2;17;17;12;16;11;65
81;Canada;3;3;2;3;3;4;4;4;3;3;4;3;3;3;4;4;4;2;2;4;2;3;4;2;3;19;F;17;17;17;15;13;71;3;4;3;2;2;3;3;3;3;4;4;3;2;2;4;4;4;3;2;3;3;4;3;2;3;17;18;16;14;11;66
114;Canada;3;3;2;3;3;4;4;4;4;4;3;3;2;3;3;4;3;3;2;3;2;3;3;1;3;19;F;17;16;15;14;13;69;2;3;2;3;2;2;3;3;2;4;3;2;3;3;4;4;3;3;2;3;2;3;4;2;3;17;14;12;15;12;68
51;Canada;3;3;4;3;3;3;3;3;2;2;3;3;3;3;3;3;2;4;1;4;3;3;4;1;3;20;F;14;14;16;18;10;76;2;4;2;2;3;2;3;3;2;4;3;3;3;3;3;3;3;4;2;2;3;3;4;3;3;16;16;12;16;12;68
7;Canada;2;4;3;2;2;2;5;4;3;5;2;4;2;2;4;4;3;3;3;2;2;3;3;2;5;27;M;20;19;10;15;12;58;2;2;2;3;2;2;2;3;2;3;3;3;3;2;3;5;3;3;3;3;3;3;4;1;4;17;13;13;15;11;69
61;Canada;3;3;2;3;3;3;3;3;2;2;4;3;3;3;4;4;4;2;2;2;2;3;4;2;3;20;F;16;16;14;14;12;68;3;3;3;2;3;2;4;3;2;2;4;3;2;3;4;4;3;3;2;4;2;3;4;2;3;16;16;15;15;11;69
107;Canada;3;3;3;3;2;2;4;4;3;5;5;3;4;4;5;5;2;4;1;4;3;4;5;1;4;19;M;21;16;17;20;12;72;2;3;3;3;2;3;4;3;2;2;3;3;3;3;4;5;3;3;2;3;2;3;5;2;3;16;16;13;17;12;70
1;Canada;4;4;2;2;3;4;4;3;2;3;3;3;2;2;2;3;5;3;2;4;2;4;3;1;3;;F;14;20;17;13;9;65;3;4;3;2;3;3;4;3;2;3;3;3;3;2;3;3;3;3;3;4;3;3;4;2;3;15;17;16;16;11;71
58;Canada;5;2;2;4;4;4;5;3;2;2;4;2;1;2;5;2;5;2;2;5;2;4;4;2;2;20;F;15;18;20;12;12;71;4;5;4;3;4;3;5;3;4;2;5;4;3;2;5;2;5;3;3;5;2;5;5;2;3;16;24;19;18;14;71
12;Canada;2;3;2;2;2;4;4;4;3;4;3;3;2;2;3;4;4;3;1;2;1;3;3;1;2;24;M;15;17;12;14;9;63;2;2;4;2;4;2;2;4;4;4;4;2;4;2;4;5;2;4;2;2;2;2;4;1;4;21;10;12;20;11;72
97;Canada;4;3;2;4;3;3;4;4;2;2;4;2;2;4;4;2;4;3;2;4;4;4;5;2;4;19;F;15;17;19;16;14;77;4;3;2;3;2;2;4;2;2;3;4;2;3;3;5;3;3;4;2;4;3;3;4;2;4;17;15;17;15;12;72
36;Canada;3;4;1;2;3;1;4;2;1;3;4;5;1;1;5;5;4;2;1;1;1;5;5;1;5;25;F;21;22;10;11;6;44;4;2;1;2;2;3;3;3;3;5;2;2;2;1;1;3;2;2;3;1;4;3;5;4;4;15;12;14;13;13;73
98;Canada;5;5;2;2;1;3;5;4;2;3;5;4;1;1;5;3;5;1;1;2;5;5;5;2;2;19;F;14;24;20;13;8;63;4;4;4;4;2;4;4;4;2;2;4;4;1;4;4;4;4;2;2;4;2;4;4;2;2;14;20;18;15;14;73
67;Canada;4;4;2;2;1;2;4;2;1;5;4;2;2;2;2;3;5;3;3;4;3;5;3;2;3;20;F;14;20;17;12;10;65;4;4;3;3;2;3;4;3;2;3;4;4;2;3;3;3;4;3;2;5;4;3;3;3;2;13;19;20;14;13;75
111;Canada;4;5;4;2;3;5;4;3;2;3;4;3;2;2;4;2;4;2;3;3;3;4;3;2;3;19;F;15;20;19;14;11;69;4;4;3;3;3;3;4;4;3;4;3;2;3;4;4;3;3;3;2;5;3;3;4;2;4;18;16;18;17;14;75
86;Canada;3;3;3;2;3;3;4;4;2;3;2;3;3;2;4;4;4;3;2;3;2;4;2;2;3;19;M;17;18;13;15;10;63;4;4;4;2;3;2;4;4;2;4;5;2;2;4;3;4;4;4;3;4;2;2;3;2;1;15;16;17;17;13;76
88;Canada;2;3;3;1;2;3;3;3;2;4;4;3;3;2;4;4;3;3;2;4;2;3;3;2;3;19;M;17;15;15;15;9;67;2;2;4;3;3;2;3;3;2;4;3;2;4;3;4;4;2;4;2;4;2;2;4;2;2;17;11;13;19;12;76
48;Canada;5;2;5;5;1;5;2;5;5;3;3;1;5;4;2;3;2;5;3;4;4;1;3;3;2;21;F;11;8;21;23;20;105;5;3;4;2;2;4;3;3;2;4;4;2;2;3;3;4;3;3;3;3;4;3;1;3;3;16;14;20;13;13;76
35;Canada;4;4;2;3;3;4;3;3;3;2;3;4;2;3;3;3;3;2;3;3;3;3;3;2;3;21;M;14;17;17;12;14;72;5;4;3;4;2;4;3;3;3;5;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;16;15;18;14;16;77
28;Canada;3;5;1;2;3;2;4;2;3;3;3;5;1;1;5;5;5;2;1;3;3;5;4;1;3;21;F;19;24;14;10;8;49;4;4;2;4;2;4;2;4;2;2;4;2;3;3;3;4;2;3;2;4;1;4;4;1;2;13;14;17;16;12;78
57;Canada;4;4;2;4;2;4;5;3;4;3;4;4;2;3;4;4;4;2;2;3;2;4;3;2;3;20;M;16;21;17;12;15;67;3;3;3;3;2;3;4;4;3;4;4;2;3;4;4;4;3;4;2;5;2;3;4;2;2;16;15;17;18;14;78
19;Canada;4;4;2;2;1;4;4;2;1;2;4;4;4;2;4;2;5;3;3;1;4;4;4;2;3;21;F;12;21;17;15;10;69;5;4;4;4;4;1;2;4;1;1;4;4;3;3;4;4;3;3;4;4;4;4;4;4;4;17;17;18;18;16;78
22;Canada;2;3;3;3;2;4;2;4;3;2;1;3;4;3;4;4;4;3;1;4;2;2;5;2;2;21;F;14;14;13;19;12;76;2;3;3;3;1;3;4;4;3;1;1;3;4;2;3;4;3;4;1;4;3;2;5;2;2;11;15;13;20;11;78
106;Canada;5;4;3;1;2;3;5;2;1;4;5;4;2;3;3;5;2;3;4;2;3;5;3;1;5;20;F;19;20;18;13;10;62;5;2;2;3;2;3;4;3;4;3;4;2;4;3;3;5;4;3;3;3;5;3;3;2;3;16;15;20;15;15;79
101;Canada;5;3;2;3;2;5;5;4;4;2;3;3;2;4;3;3;5;3;3;4;4;4;5;3;2;20;F;12;20;21;16;17;82;3;4;2;4;2;4;4;4;4;2;4;3;2;4;4;3;4;3;2;5;3;4;4;2;1;12;19;19;15;16;79
15;Canada;4;3;2;2;2;3;5;2;1;2;5;2;2;2;4;3;5;2;2;2;4;5;4;1;4;21;F;15;20;18;12;8;63;4;3;4;2;2;4;3;4;2;1;5;2;3;3;4;4;4;3;2;4;4;4;4;1;2;13;16;21;18;10;80
99;Canada;3;4;3;2;3;3;4;3;2;4;3;2;2;3;4;4;4;3;2;4;2;4;4;2;3;19;F;18;18;15;15;11;65;2;2;4;3;2;4;2;4;2;4;2;2;4;3;3;4;3;4;2;4;2;3;4;3;2;15;12;14;20;13;80
123;Canada;2;2;4;3;3;3;4;4;1;4;3;2;4;2;5;5;3;3;1;2;1;4;5;1;2;19;F;19;15;11;20;8;65;4;3;4;3;3;3;2;4;4;4;4;2;3;4;5;4;4;3;2;3;2;3;5;3;1;17;14;16;19;16;80
89;Canada;3;3;2;4;2;5;4;4;2;3;5;2;3;3;3;4;4;2;3;5;4;4;5;3;3;18;F;15;17;22;16;15;81;2;2;4;4;2;3;4;4;2;3;4;3;3;4;3;4;4;3;3;5;3;4;5;2;2;14;17;17;19;15;80
21;Canada;3;4;1;2;3;2;5;2;2;4;4;5;2;2;5;4;5;1;1;2;2;5;3;1;2;21;F;18;24;13;9;8;48;4;4;4;4;2;4;2;2;4;2;4;2;2;4;4;4;2;2;1;5;3;4;4;2;2;14;14;20;14;15;81
113;Canada;4;3;3;4;2;5;4;4;2;3;4;2;3;3;3;4;4;2;2;4;1;3;5;2;1;19;F;13;16;18;17;13;79;3;3;3;4;3;4;4;4;4;2;5;2;2;3;3;5;4;2;3;5;3;2;4;3;2;15;15;20;15;17;82
46;Canada;5;2;2;2;2;4;5;4;1;5;5;4;4;1;4;5;4;4;2;4;2;4;4;1;5;20;F;21;19;20;18;7;65;4;1;4;2;2;2;2;5;1;2;5;2;2;2;2;4;4;3;2;4;4;2;4;2;2;12;11;19;18;9;83
110;Canada;4;5;2;2;2;4;5;2;4;2;5;4;2;2;3;3;5;2;4;3;4;4;3;2;2;19;F;12;23;20;11;14;70;4;3;3;3;2;4;3;3;3;2;4;3;3;3;2;3;4;3;3;4;4;3;4;3;2;11;16;20;16;15;84
4;Canada;4;2;3;3;1;3;3;4;2;2;4;2;3;2;4;3;4;3;4;3;3;3;5;1;2;22;M;12;14;17;18;12;81;4;2;4;3;2;3;2;4;2;2;4;2;3;3;3;3;2;4;3;3;3;4;5;2;4;14;12;17;20;13;84
119;Canada;4;4;3;3;2;4;3;3;3;2;4;2;3;3;3;4;3;4;3;4;3;3;4;2;2;20;M;13;15;19;17;14;82;4;4;4;3;2;4;4;4;3;2;3;2;4;4;3;3;4;4;3;4;3;3;4;2;2;12;17;18;20;15;84
32;Canada;4;3;4;3;1;5;5;5;4;1;4;4;2;4;5;4;5;4;3;4;4;4;4;4;2;21;F;13;21;21;19;18;84;5;4;3;3;2;5;4;4;3;1;5;3;2;4;2;3;4;3;1;5;4;4;4;2;2;10;19;24;16;13;84
8;Canada;4;3;4;3;2;4;4;4;3;2;5;3;4;4;3;3;3;3;4;4;4;3;4;3;2;23;F;12;16;21;19;17;89;4;3;2;4;2;4;3;4;3;1;4;3;2;4;2;3;4;2;3;4;3;4;4;4;2;10;17;19;14;18;84
38;Canada;5;3;4;4;1;5;3;5;3;3;5;1;4;4;1;5;1;5;1;5;5;3;5;4;1;21;F;11;11;25;23;16;102;5;5;5;5;5;4;2;4;2;4;5;2;4;4;5;5;5;5;5;5;2;2;2;4;2;21;16;21;20;20;84
103;Canada;5;3;3;2;3;3;4;2;2;4;4;3;2;2;3;2;3;3;2;3;4;3;4;2;2;19;F;14;16;19;14;10;73;3;2;4;3;2;4;5;4;3;2;4;3;5;3;3;3;2;3;2;4;3;2;4;2;2;12;14;18;20;13;85
117;Canada;4;4;2;4;2;5;4;3;4;1;4;4;2;4;3;3;4;2;3;5;3;4;4;2;2;20;M;11;20;21;13;17;80;4;4;3;5;2;5;4;3;4;1;4;2;2;4;3;4;4;3;3;5;3;4;5;2;2;12;18;21;16;18;85
63;Canada;4;3;2;3;2;4;3;3;3;3;4;3;2;4;4;4;3;3;3;3;2;2;2;3;2;21;F;15;14;17;12;16;76;4;2;3;3;2;4;3;2;3;3;4;2;3;4;3;3;2;4;3;4;3;2;2;4;2;13;11;19;14;17;86
91;Canada;4;4;2;2;2;2;4;3;1;3;4;4;2;1;4;3;4;2;2;3;3;5;2;1;5;19;F;17;21;16;11;7;56;4;2;4;3;2;2;1;4;2;2;4;2;4;4;3;3;4;4;4;4;3;3;4;3;2;12;12;17;20;16;89
94;Canada;4;3;3;3;2;5;3;3;2;1;5;2;3;3;3;3;4;3;2;4;3;4;4;2;3;19;F;12;16;21;16;12;81;4;2;4;3;2;3;2;4;3;2;5;2;3;3;3;3;2;4;3;4;1;2;4;3;2;12;10;17;19;15;89
95;Canada;3;3;3;3;2;4;5;3;3;2;4;4;3;2;4;4;4;3;3;2;3;4;3;2;2;19;F;14;20;16;15;13;70;4;2;4;4;2;4;2;4;2;2;4;2;3;4;2;5;2;4;2;5;3;2;4;3;2;13;10;20;19;15;91
70;Canada;5;3;4;3;2;5;2;3;4;2;4;3;4;4;2;3;2;4;3;4;4;2;4;4;2;19;F;11;12;22;19;18;96;4;2;5;3;2;4;2;4;4;3;4;2;4;4;3;4;2;5;3;3;4;2;4;3;5;17;10;19;22;17;91
87;Canada;1;4;2;1;4;4;5;2;3;3;2;4;2;2;5;5;5;2;1;2;1;4;2;2;3;20;F;20;22;10;10;9;47;2;2;4;4;2;4;2;4;3;2;4;2;4;4;3;4;2;4;3;5;2;2;4;4;2;13;10;17;20;18;92
11;Canada;5;3;2;2;1;5;5;3;3;1;5;3;3;2;3;4;4;2;2;4;4;4;4;2;3;22;F;12;19;23;14;11;77;4;3;4;3;1;4;2;3;3;1;5;2;3;4;4;4;2;4;2;4;4;2;4;4;2;12;11;21;18;16;92
45;Canada;3;3;4;3;2;4;2;4;3;2;4;2;3;3;2;4;2;4;3;4;3;2;4;3;2;20;F;12;11;18;19;15;89;3;2;4;4;2;3;1;4;2;3;4;2;4;4;3;3;2;4;3;4;2;2;5;4;2;13;9;16;21;17;92
62;Canada;4;2;4;2;1;3;4;4;1;1;5;2;2;3;4;5;2;3;1;4;3;3;4;1;4;20;F;15;13;19;17;8;76;5;2;4;3;1;3;2;4;2;2;5;2;4;4;2;4;2;4;2;5;3;2;5;2;2;11;10;21;21;13;94
59;Canada;4;2;3;3;2;4;3;4;2;2;3;2;3;3;4;3;2;3;2;4;3;3;4;2;2;21;F;13;12;18;17;12;82;4;2;4;4;2;4;3;4;4;3;3;2;4;4;2;3;2;4;3;5;3;2;4;3;2;12;11;19;20;18;94
121;Canada;2;2;4;3;3;4;2;4;1;3;3;2;4;4;3;5;2;4;2;4;4;2;4;2;3;19;F;17;10;17;20;12;82;4;2;4;4;3;4;1;4;4;3;4;2;4;4;3;4;2;4;3;4;4;2;4;3;2;15;9;20;20;18;94
26;Canada;3;4;2;2;3;3;4;3;3;3;2;4;3;2;4;4;4;2;2;4;2;4;3;2;3;21;F;17;20;14;13;11;61;3;3;4;4;2;4;2;5;4;3;3;2;4;4;3;2;2;4;2;5;3;2;5;4;2;12;11;18;22;18;95
53;Canada;4;2;5;4;2;5;4;5;2;3;5;1;3;4;1;3;2;4;5;4;5;2;4;4;2;21;F;11;11;23;21;19;101;4;2;4;4;2;4;2;4;3;3;4;2;4;4;2;4;2;4;4;4;4;2;4;4;2;13;10;20;20;19;96
93;Canada;4;4;2;2;2;2;4;3;1;4;4;4;4;3;2;4;4;2;2;2;3;4;4;1;3;20;F;15;20;15;15;9;64;4;2;4;4;1;3;2;4;3;2;4;2;4;5;3;4;2;5;4;4;4;2;5;2;2;12;10;19;22;18;97
65;Canada;4;3;4;2;2;4;4;4;2;2;4;3;3;3;4;5;4;3;2;3;3;3;4;2;4;21;F;17;17;18;18;11;73;5;1;4;3;2;4;2;4;3;1;5;2;5;4;3;4;2;4;2;4;4;2;5;2;2;12;9;22;22;14;97
66;Canada;4;3;4;2;2;4;4;4;2;2;4;3;3;3;4;5;4;3;2;3;3;3;4;2;4;21;F;17;17;18;18;11;73;4;2;5;4;2;4;2;4;3;2;5;2;4;4;3;4;2;4;3;4;4;3;5;4;2;13;11;21;22;18;97
84;Canada;3;3;4;4;2;4;3;3;3;2;3;2;3;4;3;4;3;3;2;4;1;3;5;2;2;19;F;13;14;15;18;15;81;3;1;5;4;1;3;1;5;4;3;3;1;4;4;3;4;2;4;3;4;3;2;5;3;2;13;7;16;23;18;97
71;Canada;4;3;2;4;2;4;4;3;3;2;4;3;4;4;2;4;3;3;3;4;2;2;4;3;2;19;F;12;15;18;16;17;84;4;2;4;4;2;4;2;4;4;2;4;2;4;4;2;4;2;4;3;4;4;2;4;4;2;12;10;20;20;19;97
72;Canada;4;3;2;4;2;4;4;3;3;2;4;3;4;4;2;4;3;3;3;4;2;2;4;3;2;19;F;12;15;18;16;17;84;4;2;4;4;2;4;2;4;4;2;4;2;4;4;2;4;2;4;3;4;4;2;4;4;2;12;10;20;20;19;97
55;Canada;4;2;5;5;2;4;2;4;4;2;3;3;3;5;2;4;3;3;3;4;3;3;4;3;1;20;F;11;13;18;19;20;93;3;3;4;5;1;5;2;4;4;4;4;2;4;5;2;4;3;4;4;5;3;2;4;4;1;12;12;20;20;22;98
74;Canada;4;3;4;3;2;4;3;3;3;2;3;2;3;3;3;3;1;3;3;3;3;2;5;5;1;20;F;11;11;17;18;17;90;5;2;2;4;1;5;3;4;3;3;4;2;3;3;4;3;2;4;5;5;4;1;5;5;1;12;10;23;18;20;99
5;Canada;4;2;3;3;2;4;2;4;4;3;4;2;3;4;2;4;2;3;2;4;4;2;4;4;3;23;F;14;10;20;17;17;90;3;1;4;4;2;4;1;4;4;2;4;1;3;4;2;4;1;4;3;4;4;1;5;4;2;12;5;19;20;19;101
90;Canada;5;2;4;3;1;5;4;4;4;2;5;3;3;4;2;3;2;4;5;5;3;4;4;2;2;19;F;10;15;23;19;18;95;5;1;4;4;2;4;2;4;4;4;5;2;3;4;2;2;2;4;5;4;5;2;5;3;2;12;9;23;20;20;102
112;Canada;2;3;2;3;4;4;4;3;2;4;3;2;3;4;2;4;3;2;2;3;3;2;3;2;2;19;M;16;14;15;13;13;71;4;1;5;4;3;4;1;4;4;3;3;1;4;5;2;3;1;5;3;5;3;1;5;4;2;13;5;19;23;20;104
23;Canada;4;2;4;4;2;4;2;4;3;2;4;3;2;4;2;2;3;4;2;4;4;4;5;3;2;21;F;10;14;20;19;16;91;5;2;4;4;2;4;2;4;4;2;5;2;4;4;2;2;2;4;4;4;5;2;5;4;2;10;10;23;21;20;104
83;Canada;5;3;4;3;2;4;3;4;3;3;4;2;3;3;2;4;3;4;4;3;4;3;4;3;2;19;M;13;14;20;19;16;88;5;2;4;4;1;4;1;5;4;2;5;2;4;4;2;3;1;5;5;4;4;1;5;4;2;10;7;22;23;21;109
52;Canada;4;2;4;4;2;5;1;4;3;1;5;2;4;4;1;3;1;4;4;4;5;1;4;5;2;20;M;9;7;23;20;20;107;5;1;5;5;1;5;1;4;4;1;5;2;4;4;1;2;1;5;5;5;4;1;5;4;1;6;6;24;23;22;117
252;Canada;2;3;4;2;2;2;4;4;2;4;4;2;4;3;5;4;4;3;1;2;4;3;5;1;4;19;F;19;16;14;20;9;68;1;4;2;2;4;1;5;2;1;5;2;4;2;3;5;5;5;2;1;2;2;4;3;1;4;23;22;8;11;8;42
273;Canada;3;5;1;1;2;2;5;1;1;2;4;5;1;1;5;5;5;1;1;5;3;5;1;1;3;20;F;17;25;17;5;5;45;3;5;1;1;2;2;5;1;1;3;3;4;1;1;5;5;5;2;1;4;2;5;2;1;4;19;24;14;7;5;43
276;Canada;2;3;4;3;2;1;1;2;2;5;2;4;3;2;5;5;4;3;1;3;1;3;4;1;5;20;F;22;15;9;16;9;57;1;2;3;1;5;1;3;3;1;5;1;3;3;1;5;5;3;1;1;1;1;3;3;1;5;25;14;5;13;5;44
257;Canada;3;3;2;3;3;2;4;3;3;3;3;3;2;2;5;5;5;3;2;3;3;4;4;1;3;19;F;19;19;14;14;11;61;2;4;2;2;4;1;5;1;1;3;3;5;1;2;5;5;5;2;1;5;3;5;3;1;4;21;24;14;9;7;45
203;Canada;5;4;2;1;1;4;5;3;4;2;4;2;1;1;4;4;5;2;2;4;3;5;4;1;2;22;F;13;21;20;12;9;67;2;5;1;1;2;2;5;4;1;2;3;5;1;4;5;5;5;1;1;5;1;5;4;1;3;17;25;13;11;8;50
201;Canada;4;3;3;2;2;4;3;3;2;3;4;3;2;2;4;3;4;3;1;4;2;4;3;2;3;28;F;15;17;18;14;9;69;3;5;2;2;3;2;4;2;2;4;2;4;2;2;5;4;4;2;1;3;1;4;3;1;3;19;21;11;11;8;50
259;Canada;3;5;1;1;3;1;5;3;1;3;3;5;1;1;5;5;5;1;1;1;4;5;2;1;3;20;F;19;25;12;8;5;41;2;3;2;2;3;1;3;4;1;4;1;5;1;2;5;5;3;3;1;1;2;3;4;1;3;20;17;7;14;7;51
206;Canada;1;3;1;3;5;1;5;1;1;5;1;5;1;1;5;5;5;1;1;1;1;5;5;1;2;23;F;22;23;5;9;7;36;1;2;2;4;4;2;4;3;3;4;2;4;2;2;5;5;5;1;1;5;1;5;5;1;2;20;20;11;13;11;55
209;Canada;3;4;2;2;3;3;4;3;2;4;2;4;1;2;4;4;4;3;2;4;3;4;4;4;3;22;F;18;20;15;13;12;62;2;4;3;2;3;1;4;2;2;4;3;3;3;3;3;5;4;2;1;2;2;4;4;1;3;18;19;10;14;9;56
204;Canada;5;4;2;1;1;4;5;3;4;2;4;2;1;1;4;4;5;2;2;4;3;5;4;1;2;22;F;13;21;20;12;9;67;1;4;1;2;2;2;5;4;2;4;4;4;1;3;5;4;4;2;1;4;2;4;4;1;2;17;21;13;12;9;56
271;Canada;1;5;1;1;3;3;4;1;2;5;4;5;1;1;5;5;5;1;1;3;2;5;2;1;3;19;F;21;24;13;6;6;40;2;3;3;2;2;2;4;3;2;4;2;4;2;2;5;4;4;2;1;4;2;4;3;2;3;18;19;12;13;9;57
219;Canada;3;5;1;1;3;1;5;1;5;3;1;5;1;1;5;5;1;1;2;2;1;5;1;1;5;21;F;21;21;8;5;10;41;3;5;2;2;3;2;4;3;2;4;4;3;2;2;4;2;5;2;1;4;3;5;2;1;3;16;22;16;11;8;57
234;Canada;3;4;3;2;3;3;4;3;2;3;3;4;3;3;4;4;4;2;2;3;3;4;4;2;3;20;M;17;20;15;15;11;64;3;4;2;2;3;2;4;2;2;3;3;4;2;2;4;3;4;2;1;2;3;4;3;2;3;16;20;13;11;9;57
279;Canada;3;3;2;1;3;2;3;4;1;4;3;3;2;2;4;4;4;3;2;1;3;3;3;1;3;22;F;18;16;12;14;7;59;2;3;2;2;3;2;3;2;2;3;2;3;2;2;4;4;4;2;2;2;3;4;2;3;3;17;17;11;10;11;58
272;Canada;3;5;1;2;3;3;5;2;1;4;4;4;2;2;4;4;5;2;1;4;3;4;3;1;2;20;F;17;23;17;10;7;54;2;4;2;4;2;2;4;2;2;2;2;3;2;2;4;4;4;2;1;5;1;4;4;1;4;16;19;12;12;10;59
218;Canada;4;5;2;2;3;5;4;3;3;4;4;5;3;3;4;5;5;2;2;4;3;5;4;2;2;21;F;18;24;20;14;12;64;2;4;2;3;3;4;5;3;2;4;3;5;3;4;5;4;5;2;1;4;3;5;5;1;1;17;24;16;15;11;61
269;Canada;2;4;2;3;2;2;5;3;2;2;3;3;2;2;4;3;4;3;2;3;3;4;3;3;2;19;F;13;20;13;13;12;65;1;5;2;1;3;3;5;3;3;2;3;4;5;3;5;3;4;2;2;4;2;5;4;2;2;15;23;13;16;11;62
230;Canada;4;4;4;3;2;4;2;4;3;2;4;2;2;3;3;4;4;4;3;2;3;4;2;2;2;21;M;13;16;17;16;14;78;3;4;2;2;2;3;4;2;2;4;4;3;2;2;4;4;4;3;2;2;3;4;4;2;3;17;19;15;13;10;62
